Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Lipidation
P14142,reviewed,GLUT4_MOUSE,"Solute carrier family 2, facilitated glucose transporter member 4 (GT2) (Glucose transporter type 4, insulin-responsive) (GLUT-4)",Slc2a4 Glut4,Mus musculus (Mouse),509,"LIPID 223; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250|UniProtKB:P14672"""
P14234,reviewed,FGR_MOUSE,Tyrosine-protein kinase Fgr (EC 2.7.10.2) (Proto-oncogene c-Fgr) (p55-Fgr),Fgr,Mus musculus (Mouse),517,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000305|PubMed:15561106""; LIPID 3; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000305|PubMed:15561106""; LIPID 6; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000305|PubMed:15561106"""
P14733,reviewed,LMNB1_MOUSE,Lamin-B1,Lmnb1,Mus musculus (Mouse),588,"LIPID 585; /note=""S-farnesyl cysteine""; /evidence=""ECO:0000250"""
P15409,reviewed,OPSD_MOUSE,Rhodopsin,Rho,Mus musculus (Mouse),348,"LIPID 322; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250|UniProtKB:P02699""; LIPID 323; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250|UniProtKB:P02699"""
P16277,reviewed,BLK_MOUSE,Tyrosine-protein kinase Blk (EC 2.7.10.2) (B lymphocyte kinase) (p55-Blk),Blk,Mus musculus (Mouse),499,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000250"""
P16283,reviewed,B3A3_MOUSE,Anion exchange protein 3 (AE 3) (Anion exchanger 3) (Neuronal band 3-like protein) (Solute carrier family 4 member 3),Slc4a3 Ae3,Mus musculus (Mouse),1227,"LIPID 1160; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250"""
P16330,reviewed,CN37_MOUSE,"2',3'-cyclic-nucleotide 3'-phosphodiesterase (CNP) (CNPase) (EC 3.1.4.37)",Cnp Cnp1,Mus musculus (Mouse),420,"LIPID 417; /note=""S-farnesyl cysteine""; /evidence=""ECO:0000305|PubMed:18076147"""
P16388,reviewed,KCNA1_MOUSE,Potassium voltage-gated channel subfamily A member 1 (MBK1) (MKI) (Voltage-gated potassium channel subunit Kv1.1),Kcna1,Mus musculus (Mouse),495,"LIPID 243; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250|UniProtKB:Q09470"""
P16390,reviewed,KCNA3_MOUSE,Potassium voltage-gated channel subfamily A member 3 (MK3) (Voltage-gated potassium channel subunit Kv1.3),Kcna3,Mus musculus (Mouse),528,"LIPID 270; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000255"""
P17553,reviewed,WNT3_MOUSE,Proto-oncogene Wnt-3 (Proto-oncogene Int-4),Wnt3 Int-4 Wnt-3,Mus musculus (Mouse),355,"LIPID 212; /note=""O-palmitoleoyl serine; by PORCN""; /evidence=""ECO:0000250|UniProtKB:P56704"""
P17981,reviewed,NAR2A_MOUSE,T-cell ecto-ADP-ribosyltransferase 1 (EC 2.4.2.31) (ADP-ribosyltransferase 2a pseudogene) (ADP-ribosyltransferase C2 and C3 toxin-like 2) (ARTC2) (Mono(ADP-ribosyl)transferase 2A) (NAD(+) glycohydrolase) (EC 3.2.2.5) (T-cell NAD(P)(+)--arginine ADP-ribosyltransferase 1) (T-cell differentiation marker Rt6 homolog 1) (T-cell mono(ADP-ribosyl)transferase 1),Art2a Art2a-ps Rt6-1 Rt6.1,Mus musculus (Mouse),287,"LIPID 258; /note=""GPI-anchor amidated serine""; /evidence=""ECO:0000250"""
P18181,reviewed,CD48_MOUSE,CD48 antigen (BCM1 surface antigen) (BLAST-1) (HM48-1) (MRC OX-45 surface antigen) (SLAM family member 2) (SLAMF2) (Signaling lymphocytic activation molecule 2) (sgp-60) (CD antigen CD48),Cd48 Bcm-1,Mus musculus (Mouse),240,"LIPID 217; /note=""GPI-anchor amidated serine""; /evidence=""ECO:0000269|PubMed:1693656"""
P18762,reviewed,ADRB2_MOUSE,Beta-2 adrenergic receptor (Beta-2 adrenoreceptor) (Beta-2 adrenoceptor),Adrb2 Adrb2r,Mus musculus (Mouse),418,"LIPID 265; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250|UniProtKB:P07550""; LIPID 341; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250|UniProtKB:P07550"""
P18826,reviewed,KPB1_MOUSE,"Phosphorylase b kinase regulatory subunit alpha, skeletal muscle isoform (Phosphorylase kinase alpha M subunit)",Phka1,Mus musculus (Mouse),1241,"LIPID 1238; /note=""S-farnesyl cysteine""; /evidence=""ECO:0000250|UniProtKB:P18688"""
P18872,reviewed,GNAO_MOUSE,Guanine nucleotide-binding protein G(o) subunit alpha,Gnao1 Gna0 Gnao,Mus musculus (Mouse),354,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000250|UniProtKB:P09471""; LIPID 3; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250"""
P19437,reviewed,CD20_MOUSE,B-lymphocyte antigen CD20 (B-cell differentiation antigen Ly-44) (Lymphocyte antigen 44) (Membrane-spanning 4-domains subfamily A member 1) (CD antigen CD20),Ms4a1 Cd20 Ly-44 Ms4a2,Mus musculus (Mouse),291,"LIPID 214; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250"""
P19785,reviewed,ESR1_MOUSE,Estrogen receptor (ER) (ER-alpha) (Estradiol receptor) (Nuclear receptor subfamily 3 group A member 1),Esr1 Esr Estr Estra Nr3a1,Mus musculus (Mouse),599,"LIPID 451; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000269|PubMed:22031296"""
P20352,reviewed,TF_MOUSE,Tissue factor (TF) (Coagulation factor III) (CD antigen CD142),F3 Cf-3 Cf3,Mus musculus (Mouse),294,"LIPID 275; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250"""
P20612,reviewed,GNAT1_MOUSE,Guanine nucleotide-binding protein G(t) subunit alpha-1 (Transducin alpha-1 chain),Gnat1 Gnat-1,Mus musculus (Mouse),350,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000250|UniProtKB:P04695"""
P20693,reviewed,FCER2_MOUSE,Low affinity immunoglobulin epsilon Fc receptor (Fc-epsilon-RII) (Lymphocyte IgE receptor) (CD antigen CD23),Fcer2 Fcer2a,Mus musculus (Mouse),331,"LIPID 17; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250""; LIPID 18; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250"""
P20917,reviewed,MAG_MOUSE,Myelin-associated glycoprotein (Siglec-4a),Mag,Mus musculus (Mouse),627,"LIPID 531; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250|UniProtKB:P07722"""
P21278,reviewed,GNA11_MOUSE,Guanine nucleotide-binding protein subunit alpha-11 (G alpha-11) (G-protein subunit alpha-11),Gna11 Gna-11,Mus musculus (Mouse),359,"LIPID 9; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250|UniProtKB:P29992""; LIPID 10; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250|UniProtKB:P29992"""
P21279,reviewed,GNAQ_MOUSE,Guanine nucleotide-binding protein G(q) subunit alpha (Guanine nucleotide-binding protein alpha-q),Gnaq,Mus musculus (Mouse),359,"LIPID 9; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000269|PubMed:8227063""; LIPID 10; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000269|PubMed:8227063"""
P21552,reviewed,WNT2_MOUSE,Protein Wnt-2 (INT-1-related protein) (IRP),Wnt2 Irp Wnt-2,Mus musculus (Mouse),360,"LIPID 212; /note=""O-palmitoleoyl serine; by PORCN""; /evidence=""ECO:0000250|UniProtKB:P56704"""
P21619,reviewed,LMNB2_MOUSE,Lamin-B2,Lmnb2,Mus musculus (Mouse),596,"LIPID 593; /note=""S-farnesyl cysteine""; /evidence=""ECO:0000250"""
P21729,reviewed,GRPR_MOUSE,Gastrin-releasing peptide receptor (GRP-R) (GRP-preferring bombesin receptor),Grpr,Mus musculus (Mouse),384,"LIPID 340; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250"""
P22724,reviewed,WNT4_MOUSE,Protein Wnt-4,Wnt4 Wnt-4,Mus musculus (Mouse),351,"LIPID 212; /note=""O-palmitoleoyl serine; by PORCN""; /evidence=""ECO:0000250|UniProtKB:P56704"""
P22725,reviewed,WNT5A_MOUSE,Protein Wnt-5a,Wnt5a Wnt-5a,Mus musculus (Mouse),380,"LIPID 244; /note=""O-palmitoleoyl serine; by PORCN""; /evidence=""ECO:0000250|UniProtKB:P56704"""
P22726,reviewed,WNT5B_MOUSE,Protein Wnt-5b,Wnt5b Wnt-5b,Mus musculus (Mouse),359,"LIPID 223; /note=""O-palmitoleoyl serine; by PORCN""; /evidence=""ECO:0000250|UniProtKB:P56704"""
P22727,reviewed,WNT6_MOUSE,Protein Wnt-6,Wnt6 Wnt-6,Mus musculus (Mouse),364,"LIPID 227; /note=""O-palmitoleoyl serine; by PORCN""; /evidence=""ECO:0000250|UniProtKB:P56704"""
P23440,reviewed,PDE6B_MOUSE,"Rod cGMP-specific 3',5'-cyclic phosphodiesterase subunit beta (GMP-PDE beta) (EC 3.1.4.35)",Pde6b Mpb Pdeb rd,Mus musculus (Mouse),856,"LIPID 853; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000250"""
P23818,reviewed,GRIA1_MOUSE,"Glutamate receptor 1 (GluR-1) (AMPA-selective glutamate receptor 1) (GluR-A) (GluR-K1) (Glutamate receptor ionotropic, AMPA 1) (GluA1)",Gria1 Glur1,Mus musculus (Mouse),907,"LIPID 603; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000269|PubMed:16129400""; LIPID 829; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000269|PubMed:16129400"""
P23819,reviewed,GRIA2_MOUSE,"Glutamate receptor 2 (GluR-2) (AMPA-selective glutamate receptor 2) (GluR-B) (GluR-K2) (Glutamate receptor ionotropic, AMPA 2) (GluA2)",Gria2 Glur2,Mus musculus (Mouse),883,"LIPID 610; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000269|PubMed:16129400""; LIPID 836; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000269|PubMed:16129400"""
P24383,reviewed,WNT7A_MOUSE,Protein Wnt-7a,Wnt7a Wnt-7a,Mus musculus (Mouse),349,"LIPID 206; /note=""O-palmitoleoyl serine; by PORCN""; /evidence=""ECO:0000250|UniProtKB:P56704"""
P24721,reviewed,ASGR2_MOUSE,Asialoglycoprotein receptor 2 (ASGP-R 2) (ASGPR 2) (Hepatic lectin 2) (HL-2) (mHL-2),Asgr2 Asgr-2,Mus musculus (Mouse),301,"LIPID 54; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250"""
P24807,reviewed,CD24_MOUSE,Signal transducer CD24 (Lymphocyte antigen 52) (Ly-52) (M1/69-J11D heat stable antigen) (HSA) (Nectadrin) (R13-Ag) (X62 heat stable antigen) (CD antigen CD24),Cd24 Cd24a Ly-52,Mus musculus (Mouse),76,"LIPID 53; /note=""GPI-anchor amidated glycine""; /evidence=""ECO:0000255"""
P24822,reviewed,PPBI_MOUSE,Intestinal-type alkaline phosphatase (IAP) (Intestinal alkaline phosphatase) (EC 3.1.3.1) (Alkaline phosphatase 3),Iap Akp-3 Akp3,Mus musculus (Mouse),559,"LIPID 528; /note=""GPI-anchor amidated asparagine""; /evidence=""ECO:0000255"""
P24823,reviewed,PPBN_MOUSE,"Alkaline phosphatase, germ cell type (EC 3.1.3.1) (Alkaline phosphatase 5) (Alkaline phosphatase, placental-like) (Embryonic alkaline phosphatase) (EAP) (Embryonic-type alkaline phosphatase)",Alpg Akp5 Alppl2 Eap,Mus musculus (Mouse),529,"LIPID 502; /note=""GPI-anchor amidated serine""; /evidence=""ECO:0000255"""
P25446,reviewed,TNR6_MOUSE,Tumor necrosis factor receptor superfamily member 6 (Apo-1 antigen) (Apoptosis-mediating surface antigen FAS) (FASLG receptor) (CD antigen CD95),Fas Apt1 Tnfrsf6,Mus musculus (Mouse),327,"LIPID 194; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250|UniProtKB:P25445"""
P25799,reviewed,NFKB1_MOUSE,Nuclear factor NF-kappa-B p105 subunit (DNA-binding factor KBF1) (EBP-1) (NF-kappa-B1 p84/NF-kappa-B1 p98) (Nuclear factor of kappa light polypeptide gene enhancer in B-cells 1) [Cleaved into: Nuclear factor NF-kappa-B p50 subunit],Nfkb1,Mus musculus (Mouse),971,"LIPID 59; /note=""S-(15-deoxy-Delta12,14-prostaglandin J2-9-yl)cysteine; alternate""; /evidence=""ECO:0000250|UniProtKB:P19838"""
P25911,reviewed,LYN_MOUSE,Tyrosine-protein kinase Lyn (EC 2.7.10.2) (V-yes-1 Yamaguchi sarcoma viral related oncogene homolog) (p53Lyn) (p56Lyn),Lyn,Mus musculus (Mouse),512,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000250|UniProtKB:P07948""; LIPID 3; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250"""
P25962,reviewed,ADRB3_MOUSE,Beta-3 adrenergic receptor (Beta-3 adrenoreceptor) (Beta-3 adrenoceptor),Adrb3 Adrb3r B3bar,Mus musculus (Mouse),400,"LIPID 358; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250"""
P26361,reviewed,CFTR_MOUSE,Cystic fibrosis transmembrane conductance regulator (CFTR) (ATP-binding cassette sub-family C member 7) (Channel conductance-controlling ATPase) (EC 5.6.1.6) (cAMP-dependent chloride channel),Cftr Abcc7,Mus musculus (Mouse),1476,"LIPID 524; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250|UniProtKB:P13569""; LIPID 1391; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250|UniProtKB:P13569"""
P26645,reviewed,MARCS_MOUSE,Myristoylated alanine-rich C-kinase substrate (MARCKS),Marcks Macs,Mus musculus (Mouse),309,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000250|UniProtKB:P29966"""
P27467,reviewed,WNT3A_MOUSE,Protein Wnt-3a,Wnt3a Wnt-3a,Mus musculus (Mouse),352,"LIPID 209; /note=""O-palmitoleoyl serine; by PORCN""; /evidence=""ECO:0000269|PubMed:17141155, ECO:0000269|PubMed:24798332, ECO:0000269|PubMed:25771893"""
P27600,reviewed,GNA12_MOUSE,Guanine nucleotide-binding protein subunit alpha-12 (G alpha-12) (G-protein subunit alpha-12),Gna12 Gna-12,Mus musculus (Mouse),379,"LIPID 11; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000269|PubMed:9485474"""
P27601,reviewed,GNA13_MOUSE,Guanine nucleotide-binding protein subunit alpha-13 (G alpha-13) (G-protein subunit alpha-13),Gna13 Gna-13,Mus musculus (Mouse),377,"LIPID 14; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250|UniProtKB:Q14344""; LIPID 18; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250|UniProtKB:Q14344"""
P27664,reviewed,PDE6A_MOUSE,"Rod cGMP-specific 3',5'-cyclic phosphodiesterase subunit alpha (GMP-PDE alpha) (EC 3.1.4.35)",Pde6a Mpa Pdea,Mus musculus (Mouse),859,"LIPID 856; /note=""S-farnesyl cysteine""; /evidence=""ECO:0000250"""
P28047,reviewed,WNT7B_MOUSE,Protein Wnt-7b,Wnt7b Wnt-7b,Mus musculus (Mouse),349,"LIPID 206; /note=""O-palmitoleoyl serine; by PORCN""; /evidence=""ECO:0000250|UniProtKB:P56704"""
P28334,reviewed,5HT1B_MOUSE,5-hydroxytryptamine receptor 1B (5-HT-1B) (5-HT1B) (Serotonin receptor 1B),Htr1b 5ht1b,Mus musculus (Mouse),386,"LIPID 384; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000255"""
P28656,reviewed,NP1L1_MOUSE,Nucleosome assembly protein 1-like 1 (Brain protein DN38) (NAP-1-related protein),Nap1l1 Nrp,Mus musculus (Mouse),391,"LIPID 388; /note=""S-farnesyl cysteine""; /evidence=""ECO:0000250|UniProtKB:P55209"""
P28667,reviewed,MRP_MOUSE,MARCKS-related protein (Brain protein F52) (MARCKS-like protein 1) (Macrophage myristoylated alanine-rich C kinase substrate) (Mac-MARCKS) (MacMARCKS),Marcksl1 Mlp Mrp,Mus musculus (Mouse),200,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000269|PubMed:1618855"""
P29533,reviewed,VCAM1_MOUSE,Vascular cell adhesion protein 1 (V-CAM 1) (VCAM-1) (CD antigen CD106) [Cleaved into: Soluble Vascular Cell Adhesion Molecule-1],Vcam1 Vcam-1,Mus musculus (Mouse),739,"LIPID P29533-2:319; /note=""GPI-anchor amidated asparagine""; /evidence=""ECO:0000303|PubMed:7687058"""
P29754,reviewed,AGTRA_MOUSE,Type-1 angiotensin II receptor A (Angiotensin II type-1 receptor A) (AT1 receptor A),Agtr1a Agtr1,Mus musculus (Mouse),359,"LIPID 355; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000255"""
P29755,reviewed,AGTRB_MOUSE,Type-1 angiotensin II receptor B (AT3) (Angiotensin II type-1 receptor B) (AT1 receptor B),Agtr1b,Mus musculus (Mouse),359,"LIPID 355; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000255"""
P30545,reviewed,ADA2B_MOUSE,Alpha-2B adrenergic receptor (Alpha-2B adrenoreceptor) (Alpha-2B adrenoceptor) (Alpha-2BAR),Adra2b,Mus musculus (Mouse),453,"LIPID 445; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000255"""
P30548,reviewed,NK1R_MOUSE,Substance-P receptor (SPR) (NK-1 receptor) (NK-1R) (Tachykinin receptor 1),Tacr1 Tac1r,Mus musculus (Mouse),407,"LIPID 322; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000255"""
P30549,reviewed,NK2R_MOUSE,Substance-K receptor (SKR) (NK-2 receptor) (NK-2R) (Neurokinin A receptor) (Tachykinin receptor 2),Tacr2 Tac2r,Mus musculus (Mouse),384,"LIPID 324; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000255"""
P30730,reviewed,LSHR_MOUSE,Lutropin-choriogonadotropic hormone receptor (LH/CG-R) (Luteinizing hormone receptor) (LSH-R),Lhcgr Lhr,Mus musculus (Mouse),700,"LIPID 647; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250""; LIPID 648; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250"""
P30873,reviewed,SSR1_MOUSE,Somatostatin receptor type 1 (SS-1-R) (SS1-R) (SS1R) (SRIF-2),Sstr1 Smstr1,Mus musculus (Mouse),391,"LIPID 339; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000255"""
P30875,reviewed,SSR2_MOUSE,Somatostatin receptor type 2 (SS-2-R) (SS2-R) (SS2R) (SRIF-1),Sstr2 Smstr2 Sst2,Mus musculus (Mouse),369,"LIPID 328; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000255"""
P31428,reviewed,DPEP1_MOUSE,Dipeptidase 1 (DPEP-1) (EC 3.4.13.19) (Beta-lactamase) (EC 3.5.2.6) (Membrane-bound dipeptidase 1) (MBD-1) (Microsomal dipeptidase) (Renal dipeptidase),Dpep1 Mbd1 Rdp,Mus musculus (Mouse),410,"LIPID 384; /note=""GPI-anchor amidated serine""; /evidence=""ECO:0000250|UniProtKB:P22412"""
P32299,reviewed,BKRB2_MOUSE,B2 bradykinin receptor (B2R) (BK-2 receptor),Bdkrb2,Mus musculus (Mouse),392,"LIPID 352; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000255"""
P32300,reviewed,OPRD_MOUSE,Delta-type opioid receptor (D-OR-1) (DOR-1) (K56) (MSL-2),Oprd1,Mus musculus (Mouse),372,"LIPID 333; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000255"""
P32304,reviewed,5HT7R_MOUSE,5-hydroxytryptamine receptor 7 (5-HT-7) (5-HT7) (5-HT-X) (Serotonin receptor 7),Htr7,Mus musculus (Mouse),448,"LIPID 404; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000255"""
P32883,reviewed,RASK_MOUSE,"GTPase KRas (EC 3.6.5.2) (K-Ras 2) (Ki-Ras) (c-K-ras) (c-Ki-ras) [Cleaved into: GTPase KRas, N-terminally processed]",Kras Kras2,Mus musculus (Mouse),189,"LIPID 180; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250|UniProtKB:P01116""; LIPID 182; /note=""N6-palmitoyl lysine""; /evidence=""ECO:0000250|UniProtKB:P01116""; LIPID 184; /note=""N6-palmitoyl lysine""; /evidence=""ECO:0000250|UniProtKB:P01116""; LIPID 185; /note=""N6-palmitoyl lysine""; /evidence=""ECO:0000250|UniProtKB:P01116""; LIPID 186; /note=""S-farnesyl cysteine""; /evidence=""ECO:0000250|UniProtKB:P01116"""
P33033,reviewed,MC3R_MOUSE,Melanocortin receptor 3 (MC3-R),Mc3r,Mus musculus (Mouse),323,"LIPID 315; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000255"""
P33534,reviewed,OPRK_MOUSE,Kappa-type opioid receptor (K-OR-1) (KOR-1) (MSL-1),Oprk1,Mus musculus (Mouse),380,"LIPID 345; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000255"""
P34057,reviewed,RECO_MOUSE,Recoverin (23 kDa photoreceptor cell-specific protein) (Cancer-associated retinopathy protein) (Protein CAR),Rcvrn Rcv1,Mus musculus (Mouse),202,"LIPID 2; /note=""N-myristoyl glycine""; /evidence=""ECO:0000250"""
P34914,reviewed,HYES_MOUSE,Bifunctional epoxide hydrolase 2 [Includes: Cytosolic epoxide hydrolase 2 (CEH) (EC 3.3.2.10) (Epoxide hydratase) (Soluble epoxide hydrolase) (SEH); Lipid-phosphate phosphatase (EC 3.1.3.76)],Ephx2 Eph2,Mus musculus (Mouse),554,"LIPID 521; /note=""S-(15-deoxy-Delta12,14-prostaglandin J2-9-yl)cysteine""; /evidence=""ECO:0000250"""
P34927,reviewed,ASGR1_MOUSE,Asialoglycoprotein receptor 1 (ASGP-R 1) (ASGPR 1) (Hepatic lectin 1) (HL-1) (mHL-1),Asgr1 Asgr-1,Mus musculus (Mouse),284,"LIPID 35; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250"""
P34971,reviewed,ADRB1_MOUSE,Beta-1 adrenergic receptor (Beta-1 adrenoreceptor) (Beta-1 adrenoceptor),Adrb1 Adrb1r,Mus musculus (Mouse),466,"LIPID 381; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250"""
P35276,reviewed,RAB3D_MOUSE,Ras-related protein Rab-3D,Rab3d,Mus musculus (Mouse),219,"LIPID 217; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000250""; LIPID 219; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000250"""
P35278,reviewed,RAB5C_MOUSE,Ras-related protein Rab-5C (EC 3.6.5.2),Rab5c,Mus musculus (Mouse),216,"LIPID 213; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000250|UniProtKB:P20339""; LIPID 214; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000250|UniProtKB:P20339"""
P35279,reviewed,RAB6A_MOUSE,Ras-related protein Rab-6A (Rab-6),Rab6a Rab6 MNCb-1660,Mus musculus (Mouse),208,"LIPID 206; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000250""; LIPID 208; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000250"""
P35282,reviewed,RAB21_MOUSE,Ras-related protein Rab-21 (Rab-12),Rab21,Mus musculus (Mouse),222,"LIPID 218; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000250""; LIPID 219; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000250"""
P35283,reviewed,RAB12_MOUSE,Ras-related protein Rab-12 (Rab-13),Rab12,Mus musculus (Mouse),243,"LIPID 242; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000250""; LIPID 243; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000250"""
P35285,reviewed,RB22A_MOUSE,Ras-related protein Rab-22A (Rab-22) (Rab-14),Rab22a Rab22,Mus musculus (Mouse),194,"LIPID 193; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000250""; LIPID 194; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000250"""
P35288,reviewed,RAB23_MOUSE,Ras-related protein Rab-23 (Protein open brain) (Rab-15),Rab23 Opb,Mus musculus (Mouse),237,"LIPID 234; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000250"""
P35290,reviewed,RAB24_MOUSE,Ras-related protein Rab-24 (Rab-16),Rab24,Mus musculus (Mouse),203,"LIPID 200; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000250""; LIPID 201; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000250"""
P35292,reviewed,RAB17_MOUSE,Ras-related protein Rab-17,Rab17,Mus musculus (Mouse),214,"LIPID 211; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000269|PubMed:9624171""; LIPID 212; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000269|PubMed:9624171"""
P35293,reviewed,RAB18_MOUSE,Ras-related protein Rab-18,Rab18,Mus musculus (Mouse),206,"LIPID 199; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000255""; LIPID 203; /note=""S-geranylgeranyl cysteine""; /evidence=""ECO:0000250"""
P35377,reviewed,OPRX_MOUSE,Nociceptin receptor (K3 opiate receptor) (Kappa-type 3 opioid receptor) (KOR-3) (ORGC) (Orphanin FQ receptor),Oprl1 Oor Oprl,Mus musculus (Mouse),367,"LIPID 331; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000255"""
P35413,reviewed,GPR3_MOUSE,G-protein coupled receptor 3 (GPCR21),Gpr3 Gpcr3,Mus musculus (Mouse),330,"LIPID 313; /note=""S-palmitoyl cysteine""; /evidence=""ECO:0000250"""
